posicao,titulo,autor,tipo_capa,preco_brl,avaliacao,num_avaliacoes,data_coleta
1,A geração incrível: Um guia para ser livre e se divertir num mundo cheio de telas,Jonathan Haidt,Capa comum,"62,91",5,2,12/04/2026 13:21
2,Copa do Mundo da FIFA 2026™ Kit com 12 Envelopes de Figurinhas FIFA WORLD CUP 2026™,Panini,Capa comum,84,,0,12/04/2026 13:21
3,A cabeça do santo,Socorro Acioli,Capa comum,"39,76","4,8",27782,12/04/2026 13:21
4,Copa do Mundo da FIFA 2026™ Álbum de Figurinhas Capa Dura Ouro FIFA WORLD CUP 2026™,Panini,Capa dura,"79,9",,0,12/04/2026 13:21
5,Copa do Mundo da FIFA 2026™ Box Premium Janela C/ 1 Álbum Capa Dura Ouro + 60 Envelopes de Figurinhas FIFA WORLD CUP 2026™,Panini,Não informado,"499,9",,0,12/04/2026 13:21
6,365 Hábitos Simples e Poderosos,Paulo Houch,Capa comum,"19,9","4,8",997,12/04/2026 13:21
7,A hora da estrela: Edição comemorativa,Clarice Lispector,Capa comum,29,"4,7",25684,12/04/2026 13:21
8,O cara que estou a fim não é um cara?! - Volume 3,Sumiko Arai,Capa comum,"35,9","4,9",87,12/04/2026 13:21
9,O Pequeno Príncipe – Edição de luxo com capa dura almofadada e aquarelas originais do autor,Antoine Saint-Exupery,Capa dura,"13,9","4,9",2139,12/04/2026 13:21
10,Noites Brancas,Fiódor Dostoiévski,Capa comum,"11,36","4,6",7253,12/04/2026 13:21
11,Hábitos Atômicos: um Método Fácil e Comprovado de Criar Bons Hábitos e se Livrar dos Maus- Idioma ‏ : ‎ Português,James Clear,Capa comum,"38,03","4,8",26844,12/04/2026 13:21
12,Copa do Mundo da FIFA 2026™ 2026 Álbum Brochura FIFA WORLD CUP 2026™,Panini,Capa comum,"24,9",,0,12/04/2026 13:21
13,Verity,Colleen Hoover,Capa comum,"38,5","4,8",78273,12/04/2026 13:21
14,Murdoku: 80 mistérios para resolver usando a lógica,Manuel Garand,Capa comum,"44,9","4,9",731,12/04/2026 13:21
15,Perigoso! Este livro contém coelhos!,Tim Warnes,Capa comum,"14,64","4,8",3901,12/04/2026 13:21
16,A Metamorfose: DIE VERWANDLUNG,Franz Kafka,Capa comum,"15,8","4,7",19078,12/04/2026 13:21
17,Oração para Desaparecer,Socorro Acioli,Capa comum,"40,49","4,6",13903,12/04/2026 13:21
18,Nunca minta,Freida McFadden,Capa comum,"39,24","4,6",20837,12/04/2026 13:21
19,"Releasing 10: Salvos pelo amor, destruídos pela verdade: 6",Chloe Walsh,Capa comum,"71,9",,0,12/04/2026 13:21
20,Jantar secreto,Raphael Montes,Capa comum,"42,87","4,7",22822,12/04/2026 13:21
21,O massacre da família Hope,Riley Sager,Capa comum,"52,4","4,7",9282,12/04/2026 13:21
22,Devoradores de estrelas: O livro que deu origem ao filme,Andy Weir,Capa comum,"69,9","4,8",4370,12/04/2026 13:21
23,Binding 13: Marcação cerrada no amor: 1,Chloe Walsh,Capa comum,"50,85","4,7",4577,12/04/2026 13:21
24,Cartas de um diabo a seu aprendiz,C. S. Lewis,Capa dura,"35,81","4,8",21880,12/04/2026 13:21
25,A geração ansiosa: Como a infância hiperconectada está causando uma epidemia de transtornos mentais,Jonathan Haidt,Capa comum,"40,73","4,8",3514,12/04/2026 13:21
26,"A psicologia financeira: lições atemporais sobre fortuna, ganância e felicidade",Morgan Housel,Capa comum,36,"4,8",26678,12/04/2026 13:21
27,Melhor do que nos filmes,Lynn Painter,Capa comum,"51,73","4,8",13975,12/04/2026 13:21
28,A Biblioteca da Meia-Noite: 1,Matt Haig,Capa comum,"38,93","4,7",66493,12/04/2026 13:21
29,Sociedade do cansaço,Byung-Chul Han,Livro de bolso,"32,22","4,6",17842,12/04/2026 13:21
30,A paciente silenciosa,Alex Michaelides,Capa comum,"38,46","4,7",48635,12/04/2026 13:21
31,Assim na terra como embaixo da terra,Ana Paula Maia,Capa comum,"49,92","4,6",795,12/04/2026 13:21
32,Os esquecidos de domingo,Valérie Perrin,Capa comum,"59,42","4,8",373,12/04/2026 13:21
33,A hipótese do amor,Ali Hazelwood,Capa comum,"48,7","4,8",25507,12/04/2026 13:21
34,Café com Deus Pai Vol. 6 - 2026: Porções Diárias de Amor,Júnior Rostirola,Capa comum,"41,62","4,9",2145,12/04/2026 13:21
35,"Amor, teoricamente",Hazelwood Ali,Capa comum,"46,26","4,8",0,12/04/2026 13:21
36,Invencível Vol. 01 - Negócios de Família,Cory Walker,Capa comum,"13,18","4,8",1097,12/04/2026 13:21
37,Noites brancas (tradução direta do original russo),Nivaldo dos Santos,Capa comum,"37,44","4,8",0,12/04/2026 13:21
38,A empregada (A empregada – Livro 1): Bem-vinda à família,Freida McFadden,Capa comum,"42,65","4,7",41987,12/04/2026 13:21
39,Vade Mecum Saraiva Tradicional - 41ª Edição 2026,Editora Saraiva,Capa dura,"197,9","4,8",0,12/04/2026 13:21
40,"A coragem de não agradar: Como a filosofia pode ajudar você a se libertar da opinião dos outros, superar suas limitações e se tornar a pessoa que deseja",Ichiro Kishimi,Capa comum,"39,14","4,7",0,12/04/2026 13:21
41,Coisa de rico: A vida dos endinheirados brasileiros,Michel Alcoforado,Capa comum,"57,49","4,6",8168,12/04/2026 13:21
42,Canção para ninar menino grande,Conceição Evaristo,Capa comum,27,"4,7",6172,12/04/2026 13:21
43,O Jardim Secreto,Frances Hodgson Bernett,Capa comum,"14,9","4,7",0,12/04/2026 13:21
44,Quarta asa: 1,Rebecca Yarros,Capa comum,"69,29","4,9",19072,12/04/2026 13:21
45,O Corajoso Pinguim,Tracey Corderoy,Capa comum,"26,06","4,8",2249,12/04/2026 13:21
46,"Lula, volume 2: Biografia",Fernando Morais,Capa comum,"74,92",5,16,12/04/2026 13:21
47,O Meu Pé de Laranja Lima,José Mauro de Vasconcelos,Capa comum,"34,9","4,8",6959,12/04/2026 13:21
48,Jujutsu kaisen: batalha de feiticeiros vol. 1,Gege Akutami,Capa comum,"35,05","4,9",5279,12/04/2026 13:21
49,O poder do subconsciente,Joseph Murphy,Capa comum,"29,99","4,8",19747,12/04/2026 13:21
50,Kiwi e os garotos perdidos: + chaveiro personalizado,Ana Jeckel,Capa comum,"69,9","4,6",195,12/04/2026 13:21
51,Não é como nos filmes: (Melhor do que nos filmes – vol. 2),Lynn Painter,Capa comum,"49,78","4,8",6114,12/04/2026 13:21
52,O cara que estou a fim não é um cara?! - Volume 1,Sumiko Arai,Capa comum,"27,9","4,9",3214,12/04/2026 13:21
53,A última carta,Rebecca Yarros,Capa comum,"59,9","4,8",1686,12/04/2026 13:21
54,Orgulho e Preconceito,Jane Austen,Capa comum,15,"4,7",2726,12/04/2026 13:21
55,Vidas secas,Graciliano Ramos,Capa comum,15,"4,8",16459,12/04/2026 13:21
56,Tudo é rio,Carla Madeira,Capa comum,"45,43","4,7",65749,12/04/2026 13:21
57,Mais esperto que o diabo: o mistério revelado da liberdade e do sucesso,Napoleon Hill,Capa comum,"34,9","4,7",55897,12/04/2026 13:21
58,A gente mira no amor e acerta na solidão,Ana Suy,Capa comum,"36,85","4,7",19293,12/04/2026 13:21
59,Ainda estou aqui - O livro que deu origem ao filme,Marcelo Rubens Paiva,Capa comum,"49,37","4,8",12088,12/04/2026 13:21
60,O cara que estou a fim não é um cara?! - Volume 2,Sumiko Arai,Capa comum,"27,9","4,9",1829,12/04/2026 13:21
61,"Freud explica, eu traduzo: Psicanálise prática para transformar o seu dia a dia",Andrea Vermont,Capa comum,"50,4","4,9",0,12/04/2026 13:21
62,O Morro dos Ventos Uivantes,Emily Brontë,Capa comum,"16,04","4,6",726,12/04/2026 13:21
63,Deixa pra lá: A teoria Let Them,Mel Robbins,Capa comum,"38,4","4,6",1536,12/04/2026 13:21
64,Saving 6: Ela é a luz na escuridão: 3,Chloe Walsh,Capa comum,"50,85","4,8",1992,12/04/2026 13:21
65,Jogo de amor para dois,Ali Hazelwood,Capa comum,"42,65","4,6",578,12/04/2026 13:21
66,Água fresca para as flores,Valérie Perrin,Capa comum,"59,9","4,7",10936,12/04/2026 13:21
67,O Show da Luna - Descobrindo os dinossauros,Ciranda Cultural,Folheto,"1,9","4,5",3113,12/04/2026 13:21
68,Mulheres com Deus - 365 Dias de Fé - Devocional 2026,King Books,Capa comum,"20,36","4,8",0,12/04/2026 13:21
69,Como fazer amigos e influenciar pessoas,Dale Carnegie,Capa comum,"17,94","4,9",77,12/04/2026 13:21
70,A Metamorfose - Edição de Luxo Almofadada,Kafka,Capa dura,"23,55","4,7",19078,12/04/2026 13:21
71,Pequena coreografia do adeus,Aline Bei,Capa comum,"36,3","4,6",16731,12/04/2026 13:21
72,O livro que você gostaria que seus pais tivessem lido: (e seus filhos ficarão gratos por você ler),Philippa Perry,Capa comum,"39,37","4,8",11727,12/04/2026 13:21
73,"Chama de Ferro: sequência do fenômeno mundial Quarta Asa (Série O Empyriano, Livro 2)",Rebecca Yarros,Capa comum,"62,59","4,8",9617,12/04/2026 13:21
74,O diário de uma princesa desastrada: Um romance: 1,Maidy Lacerda,Capa comum,"43,89","4,8",5077,12/04/2026 13:21
75,O estrangeiro,Albert Camus,Capa comum,"35,25","4,7",8180,12/04/2026 13:21
76,"Pai rico, pai pobre: Edição de 20 anos atualizada e ampliada",Kiyosaki Robert T,Capa comum,"40,69","4,9",0,12/04/2026 13:21
77,Imperfeitos,Christina Lauren,Capa comum,19,"4,6",21273,12/04/2026 13:21
78,Não Começou com Você: Como o Trauma Familiar Herdado nos Define e Como dar um fim a Esse Ciclo,Mark Wolynn,Capa comum,"40,08","4,8",3501,12/04/2026 13:21
79,Comunicação não violenta - Nova edição: Técnicas para aprimorar relacionamentos pessoais e profissionais,Marshall B. Rosenberg,Capa comum,60,"4,8",16794,12/04/2026 13:21
80,"Tempestade de Ônix: Sequência dos fenômenos mundiais Quarta Asa e Chama de Ferro (Série O Empyriano, Livro 3)",Rebecca Yarros,Capa comum,"57,5","4,8",6814,12/04/2026 13:21
